Texture shape,Texture diameter,Texture length,Texture depth,Texture pitch,Roughness factor,Contact angle
Parallel Dimple,87.18,87.18,10.0,100.0,1.03,50.0
,120.0,120.0,20.0,100.0,1.088,47.8
,142.83,142.83,30.0,100.0,1.1,45.9
,87.18,87.18,10.0,200.0,1.01,47.0
,120.0,120.0,20.0,200.0,1.03,47.5
,142.83,142.83,30.0,200.0,1.074,45.7
,87.18,87.18,10.0,300.0,1.005,45.5
,120.0,120.0,20.0,300.0,1.02,45.6
,142.83,142.83,30.0,300.0,1.03,42.6
Staggered dimple,87.18,87.18,10.0,100.0,1.03,43.3
,120.0,120.0,20.0,100.0,1.171,40.8
,142.83,142.83,30.0,100.0,1.14,37.2
,87.18,87.18,10.0,200.0,1.01,46.8
,120.0,120.0,20.0,200.0,1.03,45.7
,142.83,142.83,30.0,200.0,1.074,42.9
,87.18,87.18,10.0,300.0,1.008,51.5
,120.0,120.0,20.0,300.0,1.02,58.9
,142.83,142.83,30.0,300.0,1.03,46.8
Micro grid,87.18,200.0,10.0,100.0,1.023,33.6
,120.0,200.0,20.0,100.0,1.025,32.5
,142.83,200.0,30.0,100.0,1.025,30.0
,87.18,400.0,10.0,200.0,1.023,39.2
,120.0,400.0,20.0,200.0,1.05,37.2
,142.83,400.0,30.0,200.0,1.075,36.5
,87.18,600.0,10.0,300.0,1.021,45.1
,120.0,600.0,20.0,300.0,1.04,43.3
,142.83,600.0,30.0,300.0,1.07,41.6
Groove,87.18,100.0,10.0,100.0,1.0303,37.65
,120.0,100.0,20.0,100.0,1.087,40.1
,142.83,100.0,30.0,100.0,1.16,42.3
,87.18,200.0,10.0,200.0,1.0151,35.2
,120.0,200.0,20.0,200.0,1.0435,37.2
,142.83,200.0,30.0,200.0,1.0812,39.6
,87.18,300.0,10.0,300.0,1.0101,41.65
,120.0,300.0,20.0,300.0,1.029,43.5
,142.83,300.0,30.0,300.0,1.0542,44.5
Groove,126.37961625573011,131.34972425528883,21.00825747148116,288.62186985215675,1.0216544770253175,45.45990265556024
Parallel Dimple,87.23690047157177,205.29077718454835,10.0,100.0,1.025357311729441,33.312295371356576
Groove,122.51443100042984,115.72077368888039,19.953470381241296,100.0,1.0882175715904687,38.7287190234182
Parallel Dimple,119.77017246504585,388.3178341528219,19.891744218455653,196.46838484376673,1.05539126517198,37.87977940258699
Groove,141.25324499140953,159.1324727096259,30.0,101.28010539246286,1.1043069715361107,45.683293915428536
Groove,123.20673441395436,107.42938010416955,20.51254387569916,199.68707730094454,1.0270064831770551,47.22801537723532
Micro grid,120.07793120904577,108.35068374074879,20.067824151564167,100.0,1.086777374689379,46.99585860102603
Groove,87.18,87.18,11.258120472515188,100.0,1.0288158037411734,41.74771952486754
Parallel Dimple,142.83,87.18,28.8158833207732,100.0,1.1522397558284463,41.562469905937085
Groove,117.25209280997109,126.18505424636906,20.462108373176356,211.5255198142767,1.0264695575506861,45.04914503143761
Parallel Dimple,141.60712699298688,141.9447019822935,30.0,291.42141863319733,1.0307295526591547,43.669816304973104
Micro grid,141.87506631152527,143.1096882710831,29.18579318426266,193.200080866553,1.075769712677951,42.89815547292199
Parallel Dimple,142.83,207.4360023268821,30.0,100.0,1.0227709279554718,30.0
Groove,87.18,600.0,10.403466095099223,284.5295533369967,1.0139609688165434,45.29732266033487
Groove,87.18,193.0839213288348,10.916065872670794,103.83616036959641,1.019849889905899,35.271271687669554
Micro grid,87.18,96.92914722502779,10.0,202.6788965764384,1.005,46.48264128437118
Parallel Dimple,119.51610006244444,110.06203680145224,20.856743246575174,100.0,1.169431328773581,41.14625737532311
